restaurantname,pricerange,area,food,phone,addr,postcode,food_quality,crowdedness,length_of_stay
rice boat,expensive,north,indian,01223 302800,37 newnham road newnham,,9,False,False
midsummer house restaurant,expensive,centre,british,01223 369299,midsummer common,,5,True,False
hotel du vin and bistro,moderate,centre,european,01223 227330,15 - 19 trumpington street,c.b 2,9,True,False
darrys cookhouse and wine shop,expensive,south,modern european,01223 505015,40270 king street city centre,c.b 1,5,True,False
pizza express,cheap,centre,spanish,01223 324033,,c.b 2,9,False,False
jinling noodle bar,moderate,centre,cuban,01223 566188,11 peas hill city centre,c.b 2,3,False,True
graffiti,moderate,north,indian,01223 277977,hotel felix whitehouse lane huntingdon road,c.b 3,8,False,True
wagamama,expensive,centre,japanese,01223 462354,36 saint andrews street,c.b 2,5,False,True
pizza hut city centre,cheap,centre,italian,01223 323737,regent street city centre,,9,True,False
curry king,expensive,centre,seafood,01223 324351,5 jordans yard bridge street city centre,,4,True,True
panahar,expensive,centre,mediterranean,,,,7,False,False
ugly duckling,expensive,centre,catalan,,12 st. johns street city centre,,5,True,False
pizza express fen ditton,moderate,centre,european,,jesus lane fen ditton,,5,True,False
sesame restaurant and bar,moderate,,turkish,,,,9,False,True
hk fusion,expensive,centre,thai,,21 burleigh street city centre,c.b 1,1,False,True
